Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated (kJ)","Energy, without dietary fibre, equated (kJ)",Moisture (water) (g),Protein (g),"Fat, total (g)",Total dietary fibre (g),Alcohol (g),Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols (g)",Aluminium (Al) (ug),Antimony (Sb) (ug),Arsenic (As) (ug),Cadmium (Cd) (ug),Calcium (Ca) (mg),Chromium (Cr) (ug),Chloride (Cl) (mg),Cobalt (Co) (ug),Copper (Cu) (mg),Fluoride (F) (ug),Iodine (I) (ug),Iron (Fe) (mg),Lead (Pb) (ug),Magnesium (Mg) (mg),Manganese (Mn) (mg),Mercury (Hg) (ug),Molybdenum (Mo) (ug),Nickel (Ni) (ug),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Sulphur (S) (mg),Tin (Sn) (ug),Zinc (Zn) (mg),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin derived equivalents (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Cobalamin (B12) (ug),Dietary folate equivalents (ug),Vitamin C (mg),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Alpha tocotrienol (mg),Beta tocopherol (mg),Beta tocotrienol (mg),Delta tocopherol (mg),Delta tocotrienol (mg),Gamma tocopherol (mg),Gamma tocotrienol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)",Total undifferentiated fatty acids (%T),"Total trans fatty acids, imputed (%T)","Total saturated fatty acids, equated (g)","Total monounsaturated fatty acids, equated (g)","Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total undifferentiated fatty acids, mass basis basis (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg)
F009694,19201,"Yoghurt, natural, regular fat (3% fat)",0.35,3.45,1000,306,305,81.4,5.1,3.2,0.1,0,4.9,0,5,0,,0,0,175,0,,,0.01,,24,0,0,16,0,,5.4,,150,230,2.4,58,,,0.57,50,0.02,0.22,1.14,0.36,0.03,,0.5,25,0,0,0,,0,,0,,0,,0,71.9,2.7,0,,2,2.17,0.69,0.08,0,,60.48,0,15
F009811,19204,"Yoghurt, flavoured, high fat (approx 5%)",0.35,3.45,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009608,19205,"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",0.35,3.45,1000,386,385,77.4,4.2,3.2,0.1,0,11.1,6.3,11.1,,,0,0,110,0.8,,,0,,16.7,0.18,0,14,0.01,0,5.5,0,110,220,1.5,65,,,0.51,37,0.09,0.22,0.86,,0.03,,0.4,7,0,0,0,,,,,,,,0,68.27,4.17,0.2,0,2,2.03,0.76,0.12,5.96,0,59.57,0,8
F009741,19205,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",0.35,3.45,1000,405,404,77.3,4.9,3.1,0.1,0,11.6,7,11.6,,0,0.3,0,159,0.4,,,0.01,,19.6,0.12,0,15,0.04,0,5.5,0,125,213,1.2,60,,0.4,0.48,30,0.06,0.27,1.3,,0.03,,0.4,7,0,0,0,,,,,,,,0,68.27,4.17,0.2,0,2,2,0.75,0.12,5.86,0,58.62,0,10
F009749,19205,"Yoghurt, vanilla flavoured, (2% fat)",0.35,3.45,1000,408,407,76.4,5,1.9,0.2,0,13.5,7,14.5,0,,0,0,170,0,,,0.01,,25,0,0,15,0.01,,4.2,,130,230,2.1,52,,,0.57,38,0.05,0.2,1.02,0.28,0.03,,0.4,7,0,0,0,,0,,0,,0,,0,71.2,3.3,0.1,,0.2,1.28,0.39,0.06,1.8,,3.59,0,8
F009752,19208,"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",0.35,3.45,1000,368,367,79,5.9,0.5,0.2,0,12.7,7.1,13.9,,,,,168,,,,0.01,,17,0.1,,17,0.01,,,,146,242,2.1,66,,,0.7,0,0.03,0.4,1.81,,0.03,,0.4,7,0,0,0,,,,,,,,0,71.2,3.35,0.15,,0.2,0.34,0.1,0.02,0.71,,0.94,0,6
F003270,19301,"Cream, thickened, regular fat (approximately 35%)",0.7,4.2,600,1409,1409,57.9,2,36.1,0,0,2.4,0,2.4,0,,,0,60,0.2,,,0.01,,11.3,0,,6,0,,10.4,1,58,84,0,27,19,,0.19,280,0.02,0.12,0.36,0.15,0,,0.2,64,0,0,1.1,,0,,0,,0,,1.1,68.25,3.99,0.22,0,5.5,23.28,8.7,1.36,73.92,0,1862.65,0,110
F003269,19303,"Cream, sour, regular fat",0.9,2.7,300,1414,1414,60,1.9,36.3,0,0,2,0,2,0,,,0,50,0,,,0.01,,15,0,,5,0,,10,,48,74,0,19,18,,0.18,343,0,0.11,0.25,0.12,0,,0.1,57,0,0,1.1,,0,,0,,0,,1.1,68.4,2.3,0,,4,23.46,8.68,0.79,0,,1372.14,0,91
F003267,19304,"Cream, sour, light (approximately 18% fat)",0.9,2.7,300,868,868,70.1,3.6,19.7,0,0,4.5,0,4.5,0,,,0,80,0,,,0.01,,15,0,,5,0,,10,,73,74,0,19,18,,0.18,192,0,0.11,0.47,0.12,0,,0.1,57,0,0,0.6,,0,,0,,0,,0.62,68.4,2.3,0,,4,12.73,4.71,0.43,0,,744.66,0,91
F004508,19501,"Ice cream, vanilla flavour, regular fat",0.23,9,4000,788,788,61.4,3.7,10.6,0,0,18.4,13,20.5,,,,,93,0.6,113,,0,,22.2,0.1,,12,0,,6.9,0,84,142,1,48,,,0.23,182,0,0.29,1.91,0,0.04,,0,10,0,0,0,,0,,,,,,0,71.5,2.8,0,,3.1,7.16,2.5,0.28,0,,310.53,0,35
F004507,19501,"Ice cream, vanilla flavour, premium or rich (~15% fat)",0.45,9,2000,916,916,58.8,3.2,13.5,0,0,19.7,13.6,22.5,0,,0,,110,,,,0.01,,24,0,0,10,0,,5.4,,95,150,0,37,,,0.33,171,0.03,0.2,0.65,0.38,0,,0.4,17,0,0,0.3,,0,,0,,0,,0.3,70.1,2.6,0.1,,2.7,8.94,2.97,0.33,12.76,,344.45,0,46
F003442,19602,"Custard, vanilla, regular fat",0.43,4.3,1000,392,392,77.8,3.3,3,0,0,11.6,4,13.9,,,,,120,,,,0.01,,13,0.05,,11,0.01,,,,120,165,1,61,,,0.39,8,0.05,0.21,0.64,,0.01,,0.2,2,0,0.08,0,,,,,,,,0.03,69.4,2.5,0.08,,3.5,1.96,0.71,0.07,2.12,,98.89,0,11
F005587,19803,"Milk, cow, fluid, flavoured, chocolate, reduced fat",0.25,5,2000,264,264,85.2,3.3,1.9,0,0,8.6,4.1,8.6,0,,0,,112,,,,0.03,,21.5,0.22,0,14,0.04,,3.4,,95,169,1.6,46,,,0.39,23,0.01,0.18,0.88,0.29,0,,0.2,6,0,0.08,0,,0,,0,,0,,0,69.7,3.1,0,,2.7,1.25,0.41,0.06,0,,48.48,1,8
F008721,20101,"Soy beverage, regular fat (3% fat), unfortified",0.22,2.2,1000,246,241,87.3,3.7,2.7,0.6,0,2.6,1.7,4.6,75,,0.4,0.4,13,0.5,82,,0.07,34,1.3,0.47,0.5,21,0.09,0.5,4.1,20,69,191,0.7,44,22,,0.15,7,0.02,0.03,0.72,0,0.03,2.2,0,14,0,0,1.1,,0,,0,,0.2,,1.12,17.4,60,0,,0.9,0.43,0.56,1.49,0,,22.36,0,0
F008719,20102,"Soy beverage, regular fat (3% fat), added Ca",0.22,2.2,1000,246,241,87.3,3.7,2.7,0.6,0,2.6,1.7,4.6,75,,0.4,0.4,115,0.5,82,,0.07,34,1.3,0.47,0.5,21,0.09,0.5,4.1,20,69,191,0.7,44,22,,0.15,7,0.02,0.03,0.72,0,0.03,2.2,0,14,0,0,1.1,,0,,0,,0.2,,1.12,17.4,60,0,,0.9,0.43,0.56,1.49,0,,22.36,0,0
F008720,20102,"Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12",0.22,2.2,1000,257,252,87.3,4.4,2.7,0.6,0,2.6,1.7,4.6,75,,0.4,0.4,115,0.5,82,,0.07,34,1.3,0.47,0.5,21,0.09,0.5,4.1,20,69,191,0.7,44,22,,0.15,80,0.04,0.41,0.85,0,0,2.2,0.9,14,0,0,1.1,,0,,0,,0.2,,1.12,17.4,60,0,,0.9,0.43,0.56,1.49,0,,22.36,0,0
F008704,20104,"Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12",0.22,2.2,1000,187,182,88.2,3,0.9,0.6,0,1.7,1.1,5.7,72.7,,0.5,0.5,115,0.6,82,,0.06,,1.3,0.46,0.5,13,0.08,0.5,4.1,20,71,189,0.7,45,,,0.14,80,0.04,0.41,0.59,0,0.03,,0.9,14,0,0,1.1,,0,,0,,0.2,,1.12,17.4,60,0,,0.9,0.14,0.18,0.5,0,,7.45,0,0
F009824,20106,"Almond beverage, no added sugar, unfortified",0.3,3,1000,65,61,97.5,0.5,1.4,0.5,0,0,0,0,0,,0,0,7,0,,,0.03,,1.1,0,0,6,0.03,,0,,14,19,0,40,,,0.08,0,0,0.02,0.09,0,0,,0,0,0,0,0.5,,0,,0,,0,,0.5,9.3,23.6,0,,1.6,0.12,0.87,0.32,0,,21.41,0,0
F009826,20106,"Almond beverage, no added sugar, added Ca",0.3,3,1000,65,61,97.5,0.5,1.4,0.5,0,0,0,0,0,,0,0,66,0,,,0.02,,1.1,0,0,8,0.04,,0,,16,19,0,43,,,0.06,0,0,0.02,0.09,0,0,,0,0,0,0,0.5,,0,,0,,0,,0.5,9.3,23.6,0,,1.6,0.12,0.87,0.32,0,,21.41,0,0
F009825,20106,"Almond beverage, added sugar, unfortified",0.3,3,1000,115,110,94.5,0.5,1.4,0.6,0,2.2,2.2,3,0,,0,0,3,0,,,0.04,,1.1,0,0,5,0.03,,1.5,,11,31,0,53,,,0.05,0,0,0.02,0.09,0,0,,0,0,0,0,0.5,,0,,0,,0,,0.5,8.9,29.3,0,,1.6,0.12,0.8,0.39,0,,21.41,0,0
F009827,20106,"Almond beverage, added sugar & Ca",0.3,3,1000,115,110,94.5,0.5,1.4,0.6,0,2.2,2.2,3,0,,0,0,68,0,,,0.02,,1.1,0,0,4,0.04,,0.7,,40,16,0,43,,,0.04,0,0,0.02,0.09,0,0,,0,0,0,0,0.5,,0,,0,,0,,0.5,8.9,29.3,0,,1.6,0.12,0.8,0.39,0,,21.41,0,0
F009828,20106,"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca",0.3,3,1000,115,110,94.5,0.5,1.4,0.6,0,2.2,2.2,3,0,,0,0,120,0,,,0.03,,1.1,0,0,8,0.07,,0,,74,19,0,33,,,0.07,0,0.04,0.28,0.09,0,0,,0.4,0,0,0,0.5,,0,,0,,0,,0.5,8.9,29.3,0,,1.6,0.12,0.8,0.39,0,,21.41,0,0
F006132,20106,"Oat beverage, fluid, unfortified",0.27,2.7,1000,224,222,86.6,1.3,0.8,0.3,0,3.1,0,10.2,0,,0,0,18,0,,,0.04,,1.2,0,0,6,0.17,,9.9,,26,47,0,38,,,0.08,0,0.07,0,0.26,0,0,,0,0,0,0,0,,0,,0,,0,,0,21.5,30.6,0,,0,0.16,0.35,0.23,0,,0,0,0
F006131,20106,"Oat beverage, fluid, added calcium",0.27,2.7,1000,224,222,86.6,1.3,0.8,0.3,0,3.1,0,10.2,0,,0,0,110,0,,,0.04,,1.2,0,0,6,0.17,,9.9,,83,47,0,38,,,0.08,0,0.07,0,0.26,0,0,,0,0,0,0,0,,0,,0,,0,,0,21.5,30.6,0,,0,0.16,0.35,0.23,0,,0,0,0
F007632,20106,"Rice beverage, fluid, added calcium",0.31,3.1,1000,255,255,87.3,0.3,1,0,0,3.7,0,12.7,65,,1.9,0,70,,,,0.01,,5.1,0.2,,10,0.09,,,,18,22,0,62,,,0.07,0,0.02,0,0.11,0,0,,0,0,0,0,0.3,,0,,0,,0,,0.3,17.3,32.8,0,,2.2,0.16,0.47,0.31,0,,21.51,0,0
F009738,20501,"Yoghurt, soy based, berry flavoured, regular fat (3% fat)",0.89,4,450,416,414,79.6,3.6,3.7,0.2,0,8.4,7.4,12.6,110,,,0,120,2.3,,,0.08,,2.3,0.59,,7,0.09,,5,,130,55,0,55,26,,0.15,0,0,0,0.84,0,0,,0,75,0,0,0,,0,,0.2,,0.5,,0.05,14.3,41,0,,0,0.49,1.52,1.4,0,,0,0,0
F009739,20502,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",0.89,4,450,309,307,80.7,3.6,0.8,0.2,0,8.4,7.8,12.6,110,,,0,120,2.3,,,0.08,,2.3,0.59,,7,0.09,,5,,130,55,0,55,26,,0.15,0,0,0,0.84,0,0,,0,75,0,0,0,,0,,0.2,,0.5,,0.05,14.3,41,0,,0,0.1,0.33,0.3,0,,0,0,0
F009076,22102,"Tahini, sesame seed pulp",1.33,5,375,2717,2609,0.2,20.4,60.7,13.5,0,0.7,0,1,,0,3,3.1,330,,70,,1.59,110,0,5.1,1.7,320,1.1,0,,,730,190,20.6,79,200,0.3,5.53,1,0.95,0.25,12.81,0.15,0.2,14,0,99,0,0,0,,,,,,2110,,211,13,48.3,0,,2.2,7.54,22.46,28.03,0,,1305.66,0,0
F002984,22203,"Coconut, fresh, mature, water or juice",0.31,4,1300,87,87,93.5,0.5,0.1,0,0,4.7,0,4.7,,,,,17,,,,0.01,,0,0.6,,11,1.03,,,,59,200,1,17,,,0.16,0,0.02,0.01,0.16,,0.03,,0,3,0,0,0,,,,,,,,0,93.7,0.9,0,,0,0.09,0,0,0,,0,0,0
F002986,22203,"Coconut, fresh, young or immature, water or juice",0.73,5.5,750,109,109,95.2,0.2,0,0,0,6.6,0,6.6,,,,,12,,,,0.22,,0,0.4,,11,1.02,,,,9,186,1,5,,,0.09,0,0.01,0.02,0.11,,0.03,,0,3,0,0,0,,,,,,,,0,93.7,0.9,0,,0,0,0,0,0,,0,0,0
F002982,22203,"Coconut, cream, regular fat",0.25,1,400,908,908,71.1,1.6,23.2,0,0,1.4,0,1.4,0,,0,0,2,0,250,,0.15,10,1.7,0.51,0,20,0.37,,1.9,,32,130,0,16,,,0.26,0,0,0,0.19,0,0,2.2,0,0,0,0,0.7,,,,,,,,0.7,86.1,2.3,0,,0,18.82,2.36,0.5,0,,0,0,0
F002991,22203,"Coconut, milk, canned, regular fat",0.41,1.65,400,620,620,77.6,1.4,15.4,0,0,1.7,0,1.7,0,,0,0,3,1.5,,,0.18,,2,0.66,0,26,0.46,,2,,40,160,0,26,,,0.31,1,0,0,0.22,0,0,,0,0,0,0,0.2,,,,,,,,0.2,86.1,2.3,0,,0,12.49,1.57,0.33,0,,0,0,0
F002990,22203,"Coconut, milk, canned, reduced fat",0.41,1.65,400,288,287,89.7,0.6,7.1,0,0,0.9,0,0.9,,,,,5,,,,0.2,,4.1,0.2,,6,0.73,,,,11,61,2.1,15,,,0.22,1,0,0,0.19,,0.03,,0,0,0,0,0.8,,,,,,,,0.8,95.6,0.7,0,,0,6.39,0.25,0.05,0,,0,0,0
F005973,23103,"Mustard, cream style",0.92,2.3,250,348,315,75.4,5.8,3.1,4.1,0,3.6,2.9,6.2,,,,,83,,2360,,0.22,47,0,2,,55,0.5,,,,140,160,50,1420,160,,0.8,15,0.2,0.03,2.48,,0,,0,8,0,0,10.6,,,,,,,,10.6,4.9,25.5,0,,0,0.14,2.06,0.76,0,,0,0,0
F007987,23103,"Sauce, barbecue, commercial",0.3,1.5,500,725,718,55.6,0.8,0.1,0.9,0,38.4,34.5,42.2,110,,0,0,12,3.5,1050,,0.06,14,2.2,0.4,0,9,0.1,,2.3,,12,130,0.5,710,15,,0.03,7,0.02,0,0.05,0,0,,0,0,0,0,0.3,,0,,0,,0,,0.34,0,0,0,,0,0,0,0,0,,0,0,0
F008000,23103,"Sauce, cranberry, commercial",1.29,3.55,275,649,640,58.4,0,0,1.1,0,40,37.2,40,,,,,3,,,,,,0,0.41,,2,,,,,4,50,0.4,50,,,0.03,0,0.02,0.02,0.1,,0.01,,0,1,1,0,0.9,,,,,,,,0.93,0,0,0,,0,0,0,0,0,,0,0,0
F008004,23103,"Sauce, fish, commercial",0.83,2.5,300,213,203,65.4,6.8,0.3,1.2,0,4.4,4.4,4.4,,,,,30,,,,0.33,,33,1.55,,118,0.05,,,,12,215,21,8255,,,0.74,7,0,0.1,3.16,,0.4,,0,51,0,0,0,,,,,,,,0,37.5,50,37.5,,3.2,0.08,0.05,0.1,78.75,,6.78,0,0
F008008,23103,"Sauce, hoi sin (hoisin), commercial",1,2.5,250,922,839,40.8,1.6,5.4,10.4,0,33.5,32.3,37.2,,,,,41,,,,0.25,,1.6,4.7,,14,0.03,,,,34,51,0,1550,,,0.6,5,0.01,0.25,1.1,,0.06,,0,23,1,0,0,,,,,,,,0,16,59.9,0,,0,0.82,1.24,3.09,0,,0,0,0
F008026,23103,"Sauce, oyster, commercial",1,2.5,250,471,468,63.5,2.8,1,0.3,0,15.6,15.5,21,,,,,40,,,,0.36,,3,3.9,,24,0.04,,,,7,210,4.4,3790,,,0.9,40,0.02,0.05,1.14,,0.02,,0,15,0,0,0,,,,,,,,0,23.63,36.26,1.1,,0,0.16,0.28,0.25,7.69,,0,0,0
F008029,23103,"Sauce, pasta, basil pesto, commercial",1.03,1.95,190,1598,1586,46.1,5.3,37.1,1.5,0,2.1,0.8,7.4,,,,,147,,,,0,,6,1.41,,32,0.43,,,,20,232,5.5,1251,,,1.09,51,0.08,0.13,4.26,,0.25,,0.4,34,0,0,5.4,,,,,,,,5.38,19.55,17.76,0.02,,0.1,6.93,21.73,6.3,6.03,,35.82,0,8
F008054,23103,"Sauce, plum, commercial",1.28,3.2,250,958,953,39.9,0.1,0.8,0.6,0,48.2,45.2,56.5,,,,,15,,,,0.7,,0,2.5,,24,0.02,,,,5,32,0.4,950,,,0.9,6,0,0.05,0,,0.08,,0,6,2,0,0,,,,,,,,0,55.3,26,0,,0,0.41,0.14,0.19,0,,0,0,0
F008065,23103,"Sauce, soy, commercial",0.4,2,500,209,209,71.5,6.8,0,0,1.4,2.2,1.3,3.2,155.8,,0.5,0.5,21,7.4,10100,,0.01,0,5.4,1.3,0.8,50,0.75,,35.4,,142,299,2.7,5600,58,,0.51,0,0.16,0.11,0.17,0.2,0,3.2,0,34,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008067,23103,"Sauce, soy, commercial, reduced salt",0.66,3.3,500,162,162,80.1,5.4,0,0,0.9,1.7,0.9,2.7,,,,,17,,10100,,0,0,1.5,2.2,,32,0.34,,,,89,180,5,3598,58,,0.3,0,0,0.24,1.55,0.11,0.09,3.2,0,44,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008077,23103,"Sauce, tabasco, commercial",6.33,9.5,150,57,52,95.2,1.3,0.8,0.6,0,0.1,0,0.1,,,,,12,,,,0.08,,0.7,1.16,,12,0.11,,,,23,128,0.5,633,,,0.16,164,0.03,0.08,0.47,0.11,0.15,,0,1,4,0,0,,,,,,,,0.01,20.27,70.64,0,,0,0.12,0.01,0.43,0,,0,0,0
F008094,23103,"Sauce, Worcestershire, commercial",1.1,5.5,500,311,311,73.3,1.3,0.2,0,0,16.9,15.6,17.6,,,,,160,,2040,,0.14,1,1,3.7,,83,0.68,,,,23,890,4,1060,150,,0.4,1,0,0.13,0.64,0.58,0.61,26,0.1,2,0,0,0.1,,,,,,,,0.12,23.3,34,9.1,,0,0.04,0.08,0.06,16.74,,0,0,0
F008050,23104,"Sauce, pasta, tomato-based, commercial, heated",0.42,2.1,500,226,211,84.7,1.6,1.5,1.8,0,6.2,3.6,7.5,230,,0,1.7,27,12,700,,0.11,19,0.9,0.74,0,15,0.28,0,4.5,,33,337,0.8,375,22,4.9,0.19,51,0.04,0.05,0.86,0.02,0.13,5,0,61,1,0,1.8,,0,,0,,0,,1.8,13.9,20.3,0,,0,0.17,0.76,0.24,0,,0,0,0
F008056,23104,"Sauce, salsa, tomato-based, commercial",0.5,1.5,300,146,133,89.5,1.3,0,1.6,0,4.9,0,6.3,,,,,36,,850,,0.1,0,1,0.61,,15,0.1,,,,26,270,0,480,,,0.17,30,0.05,0,0.8,0,0.09,1.8,0,36,8,0,1,,,,,,,,1,0,0,0,,0,0,0,0,0,,0,0,0
F008083,23104,"Sauce, tomato, commercial",0.3,1.5,500,437,426,69.7,1.3,0,1.3,0,23.7,21.5,24.1,470,,0,1.4,13,2.9,1400,,0.07,9,4.6,0.65,0,14,0.12,0,3.7,58,27,292,0,870,16,0,0.15,40,0.03,0,0.1,0,0,4.5,0,16,0,0,1,,0,,0,,0,,1,0,0,0,,0,0,0,0,0,,0,0,0
F008085,23104,"Sauce, tomato, commercial, reduced salt",0.3,1.5,500,437,426,70.2,1.3,0,1.3,0,23.7,21.5,24.1,470,,0,1.2,12,3.1,,,0.07,,3.1,0.62,0,14,0.11,,3,,27,270,0,529,,,0.14,40,0.03,0,0.1,0,0,,0,16,0,0,1,,0,,0,,0,,1,0,0,0,,0,0,0,0,0,,0,0,0
F007992,23107,"Sauce, butter chicken, commercial",0.48,2.4,500,412,396,79.3,1.3,7.6,1.9,0,3.6,0.8,5.8,,,,,21,,,,0,,3,0.78,,18,0,,,,13,144,1.4,462,,,0.25,19,0.03,0.09,1.54,,0.01,,0,28,0,0,2,,,,,,,,1.97,43.41,13.72,0,,1.1,3.13,2.95,0.99,0,,82.31,0,18
F008028,23107,"Sauce, pasta or simmer, commercial, low fat",0.48,2.4,500,240,230,85.5,0.8,2.9,1.3,0,3.5,2.1,6.6,,,,,9,,,,0,,0,0.81,,10,0,,,,20,89,1,281,,,0.2,4,0.53,0.05,1.13,,1.55,,0,33,0,0,1.6,,,,,,,,1.65,11,42.65,0,,2.2,0.3,1.23,1.18,0,,62.38,0,0
F008036,23107,"Sauce, pasta, cheese or cream-based, commercial",0.48,2.4,500,363,362,82.6,1.4,6.8,0.1,0,2.7,1.3,5.3,0,,0,,32,,,,0,,6.2,0,0,5,0.01,,2.3,,21,94,0,482,,,0.12,7,0.29,0.07,0.28,0.06,0,,0.1,14,0,0.02,0.6,,0,,0,,0.8,,0.68,42.6,15.7,0,,0.7,2.77,2.48,1.02,0,,45.5,0,13
F008055,23107,"Sauce, rogan josh, commercial",0.48,2.4,500,295,280,78.5,1.5,4.1,1.9,0,3.1,1.8,6.2,,,,,28,,,,0,,5.1,1.1,,20,0.12,,,,19,329,0,508,,,0.28,10,0.06,0.11,1.07,,0.08,,0,30,0,0,0.9,,,,,,,,0.9,48.4,20.2,0,,0.6,1.9,1.22,0.79,0,,25.2,0,4
F008062,23107,"Sauce, simmer for chicken, commercial",0.48,2.4,500,383,370,81.6,0.8,7.5,1.7,0,3.3,0.2,4.8,,,,,9,,,,0,,2,0.62,,14,0,,,,15,54,0.9,212,,,0.18,0,2.8,0.07,1.37,,0.3,,0,30,0,0,0.8,,,,,,,,0.8,12.96,54.98,0,,0.1,0.93,2.18,3.94,0,,10.04,0,0
F008063,23107,"Sauce, simmer, curry flavoured, commercial",0.48,2.4,500,494,476,77.3,2.1,6.9,2.3,0,7.1,0,10.7,,,,,31,,830,,0.12,0,4,1.1,,21,0.38,,,,42,180,0,510,,,0.28,32,0.94,0.05,1.24,0,0.08,3.5,0,29,0,0,0.9,,,,,,,,0.9,48.92,13.88,0,,0.9,3.12,2.2,0.89,0,,56.95,0,4
F003612,23301,"Dressing, thousand island, regular fat, commercial",0.61,2,330,1494,1483,44.3,1,31.8,1.4,0,14.7,13.9,16.6,,,,,12,,1420,,0,36,5,0.3,,6,0.05,,,,30,130,1,878,16,,0,17,0,0,0.38,0.12,0.06,3.4,0,0,0,0,18,,,,,,,,18,11.1,63.3,0,,0.2,3.37,7.72,19.24,0,,60.8,0,27
F005441,23301,"Mayonnaise, traditional (greater than 65% fat), commercial",0.42,3.2,770,2651,2647,21.5,0.8,67.2,0.5,0,7.9,7.9,8.7,0,,0,0,8,2.5,1330,,0.01,38,17.3,0,0,2,0.01,,1.1,,15,14,1.8,480,21,,0.08,5,0,0.02,0.15,0.03,0,2,0,0,0,0.3,16.1,,0.1,,0.5,,13,,17.45,12.88,50.55,0,,0.6,8.28,23.04,32.47,0,,411.16,0,24
F005437,23302,"Mayonnaise, low fat, commercial",0.98,4,410,514,514,68.3,0.5,1.8,0,0,20.5,20.5,27.1,,,,,8,,,,,,0,0.3,,2,,,,,23,16,2,678,,,0,0,0,0.49,0.13,,0,,0,0,0,0,0.4,,,,,,,,0.37,13.8,40,0,,0.6,0.23,0.76,0.67,0,,10.04,0,24
F003592,23303,"Dressing, French or Italian, regular fat, commercial",0.6,1.8,300,948,948,61.5,0.1,19.6,0,0,11.4,11.4,11.7,,,,,0,,2630,,0,40,0,0,,0,0,,,,0,0,0,970,12,,0,0,0,0.07,0.02,0,0,0,0.1,0,0,0,7.8,,,,,,,,7.8,10.76,59.41,0,,0.2,2.02,5.39,11.13,0,,37.48,0,0
F009498,23305,Vinegar (except balsamic vinegar),0.21,4.1,2000,65,65,95.5,0,0,0,0,0,0,0,,,,,1,,20,,0,24,0.2,0,,1,0,,,,5,6,0,5,1,,0,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F003539,23503,"Dip, hummus, commercial",2.22,4,180,1039,1007,54.1,6.9,19.5,3.9,0,0.8,0,9.4,250,,0,,49,,,,0.3,,1.6,1.6,0,65,0.67,,39,,160,260,4.5,410,,,1.2,0,0.16,0.03,1.16,0.19,0.06,,0,91,0,0,3.3,,0,,0,,11,,4.4,9.8,36.9,0,,0.4,1.83,9.32,6.88,0,,74.57,0,0
F004219,27102,"Glucose, liquid or syrup",0.98,4.9,500,1268,1268,20.4,0,0,0,0,33,33,87.5,,,,,8,,190,,0.09,,0,0.5,,2,0,,,,11,3,0,150,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009049,27102,"Syrup, golden",0.55,2.2,400,1203,1203,17,0.2,0,0,0,74.9,74.9,74.9,,,,,230,,,,0.08,,0,3.3,,37,0.06,,,,0,610,0.8,130,,,0,0,0,0,0.4,,0.19,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009052,27102,"Syrup, maple, pure",3.8,9.5,250,1082,1082,32.4,0,0.1,0,0,60.4,60.4,67,,,,,102,,,,,,0,0.11,,21,,,,,2,212,0.6,12,,,1.47,0,0.07,1.27,0.08,,0,,0,0,0,0,0,,,,,,,,0,20,48.57,0,,0,0.01,0.02,0.02,0,,0,0,0
F004380,27102,Honey,1,10,1000,1162,1162,15.3,0.3,0,0,0,72.3,0,72.3,63,,0,,8,,,,0.01,,0,0.12,1.5,2,0.37,,0,,4,66,0,8,,,0.17,0,0,0,0.04,,0.02,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000996,29101,"Beer, high alcohol (5% v/v & above)",1.21,24,1980,174,174,91.9,0.5,0,0,4.5,0.2,0,2.1,1.6,0,0,0,4,0.2,39,,0,60,0,0.01,0,9,0.22,0,0.2,1,23,55,0,4,8,0,0,0,0,0.04,0.06,0,0.03,1,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
